node_id,label,feat
kmeasure-3c4fb338-d403-11ec-9f24-00155d8545fd,10013,"0.00654020297685837, 1.0"
kmeasure-3c4a3332-d403-11ec-b41f-00155d8545fd,10011,"0.239452258821906, 1.0"
kmeasure-3c4f5eda-d403-11ec-9589-00155d8545fd,10024,"0.00743194606590819, 1.0"
kmeasure-3c4edb68-d403-11ec-a90b-00155d8545fd,10032,"0, 1.0"
kmeasure-3c4e94ec-d403-11ec-8bc3-00155d8545fd,10008,"0.0194768868731432, 1.0"
kmeasure-3c4e364e-d403-11ec-aad9-00155d8545fd,10019,"0.0311672776747042, 1.0"
kmeasure-3c4e1e05-d403-11ec-bdbe-00155d8545fd,10019,"0.0187608074870062, 1.0"
kmeasure-3c4cd642-d403-11ec-9853-00155d8545fd,10009,"0.122162319778553, 1.0"
kmeasure-3c4fea91-d403-11ec-8815-00155d8545fd,10025,"0, 1.0"
kmeasure-3c4f95e9-d403-11ec-85a5-00155d8545fd,10020,"0.0085936315551587, 1.0"
kmeasure-3c4cad29-d403-11ec-a652-00155d8545fd,10010,"0, 1.0"
kmeasure-3c4bd64b-d403-11ec-8188-00155d8545fd,10028,"0.0727074204030613, 1.0"
kmeasure-3c4d1ec1-d403-11ec-abac-00155d8545fd,10007,"0.0734299891019693, 1.0"
kmeasure-3c4b7113-d403-11ec-ab70-00155d8545fd,10015,"0.000309909502394532, 1.0"
kmeasure-3c4c7164-d403-11ec-aba9-00155d8545fd,10010,"0.0101107195786075, 1.0"
kmeasure-3c4a8b70-d403-11ec-96c8-00155d8545fd,10023,"0.00411644843634318, 1.0"
kmeasure-3c4ee872-d403-11ec-9144-00155d8545fd,10032,"0.00315635006383866, 1.0"
kmeasure-3c502b43-d403-11ec-a0a8-00155d8545fd,10017,"0, 1.0"
kmeasure-3c4c147c-d403-11ec-bf56-00155d8545fd,10006,"0.0180843037228835, 1.0"
kmeasure-3c497dff-d403-11ec-a4db-00155d8545fd,10031,"0.0095041917810723, 1.0"
kmeasure-3c4a1a2a-d403-11ec-87b6-00155d8545fd,10027,"0, 1.0"
kmeasure-3c50bfef-d403-11ec-b942-00155d8545fd,10012,"0.112186015206662, 1.0"
kmeasure-3c5006d9-d403-11ec-970f-00155d8545fd,10025,"0, 1.0"
kmeasure-3c4dafc3-d403-11ec-b5d7-00155d8545fd,10029,"0, 1.0"
kmeasure-3c4ea09f-d403-11ec-b689-00155d8545fd,10008,"0.00148431541458174, 1.0"
kmeasure-3c4ad9c3-d403-11ec-b0dd-00155d8545fd,10001,"0, 1.0"
