"kobs_id","kmeasure_id"
"obf-312017d6-1fbe-4ad1-abe5-97c411d6c9f7","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-5e328d1a-c14d-4031-99c0-d107731563e3","mact-7b411daa-2993-46f7-9883-88ed9410a66c"
"obf-5163e382-6b2b-4cc8-bf47-22a2e1e8e346","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-5a728e27-6359-433e-b673-ab863b561427","mact-7b411daa-2993-46f7-9883-88ed9410a66c"
"obf-4a67ed7a-7387-4ff4-a610-0060a02d2eb8","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obf-0c7a8541-1cf9-4cce-85d8-5824104289cf","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-0c3de308-f0f5-44d8-a4a2-dd3d74452216","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-be003bad-fc60-4ba7-868d-194f909d4c4b","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-8c302563-5294-498c-95a4-b96daf9ed5e1","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-5a728e27-6359-433e-b673-ab863b561427","mact-02528e65-c88d-4434-80ff-99d3b326e001"
"obf-de76a07a-0935-4cea-9755-089a2da00020","mact-46f81f2e-f12d-490d-8779-6fd54ceb1544"
"obf-5a728e27-6359-433e-b673-ab863b561427","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obf-d7f52f90-7169-41fa-97e3-31f1488aa7da","mact-26b34fef-27d0-4145-a138-15c4d63f03a2"
"obf-e642da19-c9bb-47eb-85f9-3400d5376c57","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-c902f00f-97fd-45c0-8753-dace2c608168","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-cce83cd7-20ee-4a03-b731-51df2c399b4c","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-5163e382-6b2b-4cc8-bf47-22a2e1e8e346","mact-d107fce5-e2a0-4b56-bff9-30769a5e7452"
