id,source_id,target_id
relationship--fce13b14-c974-4de2-9dfb-7ad45bca85f0,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--19bf235b-8620-4997-b5b4-94e0659ed7c3
relationship--4abb5175-7caf-41c8-83a6-1ce459cf72df,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--8d7bd4f5-3a89-4453-9c82-2c8894d5655e
relationship--a429ab16-3153-4753-b4db-4311b09811fd,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--0df05477-c572-4ed6-88a9-47c581f548f7
relationship--2d41c441-a858-4c30-a041-9bf0514d8c38,course-of-action--82c21600-ccb6-4232-8c04-ef3792b56628,attack-pattern--0df05477-c572-4ed6-88a9-47c581f548f7
relationship--5c8cea6d-46d9-4a66-a23e-047dd02f756b,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--38eb0c22-6caf-46ce-8869-5964bd735858
relationship--0fe230fa-c21c-43bc-ba4f-79e654bbc74a,course-of-action--82c21600-ccb6-4232-8c04-ef3792b56628,attack-pattern--38eb0c22-6caf-46ce-8869-5964bd735858
relationship--18aa9fc3-5269-4205-a58e-6aeb127c38f4,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9
relationship--ce78a276-c3cc-4c46-ae90-79bea30d4611,course-of-action--82c21600-ccb6-4232-8c04-ef3792b56628,attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9
relationship--69db7ce6-c72e-4710-9e32-48b0a6ca7675,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--2bee5ffb-7a7a-4119-b1f2-158151b19ac0
relationship--d2b60ff3-0204-4bf5-9beb-f4e2d395fcfe,course-of-action--82c21600-ccb6-4232-8c04-ef3792b56628,attack-pattern--2bee5ffb-7a7a-4119-b1f2-158151b19ac0
relationship--8f2d973c-aa06-42a1-9490-1e799c0a5ee2,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119
relationship--7fad18cd-28b4-47b4-8b38-f8beaf1120ad,course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119
relationship--8b88b63a-c415-4218-b579-6a10de86b6eb,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119
relationship--dc1b1842-ce36-46ec-83d5-66292d65c463,course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,attack-pattern--1d24cdee-9ea2-4189-b08e-af110bf2435d
relationship--59a5fbfa-c750-4945-bb9b-c535c36ab969,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,attack-pattern--1d24cdee-9ea2-4189-b08e-af110bf2435d
relationship--cff34686-cbdf-4e0b-8108-c2deaf8855a7,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,attack-pattern--692074ae-bb62-4a5e-a735-02cb6bde458c
relationship--64201f56-d678-4ed2-b759-c78bf9e4d82a,course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,attack-pattern--692074ae-bb62-4a5e-a735-02cb6bde458c
relationship--c215cce3-a2f5-4534-937c-b15d7be4588c,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,attack-pattern--692074ae-bb62-4a5e-a735-02cb6bde458c
relationship--4b7e0525-1ba7-4d55-89d1-07fc94193065,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,attack-pattern--b2d03cea-aec1-45ca-9744-9ee583c1e1cc
relationship--ce2f8c4d-43f0-459e-a579-1faf28e4bca6,course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,attack-pattern--b2d03cea-aec1-45ca-9744-9ee583c1e1cc
relationship--579ddc49-aacd-4b02-9f90-4ee1689f4f23,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,attack-pattern--b2d03cea-aec1-45ca-9744-9ee583c1e1cc
relationship--b8113c99-fc84-4c2d-8925-cb1f5733f6eb,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
relationship--7ef8afb4-2bfa-471b-a412-b1862418be3e,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
relationship--dddb38c9-408c-44da-9e51-3f7cd159c43d,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579
relationship--f36141b8-5dd8-462d-bfc3-b43e179e955c,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579
relationship--2134ec34-cce0-4361-b9d9-8cdee10d9c52,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--4eb28bed-d11a-4641-9863-c2ac017d910a
relationship--f39d0966-e4d4-4d6e-813d-012a0674e466,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--4eb28bed-d11a-4641-9863-c2ac017d910a
relationship--c9f23224-fecf-48e8-867b-1c299fb40cf3,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--5372c5fe-f424-4def-bcd5-d3a8e770f07b
relationship--e31f5737-0105-481d-9e12-e0986f752164,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--5372c5fe-f424-4def-bcd5-d3a8e770f07b
relationship--92f524c5-86e8-43cf-90d5-907ac16acf5d,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--0bda01d5-4c1d-4062-8ee2-6872334383c3
relationship--2f47b6cb-a378-492d-9565-e9ebbca68908,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--36b2a1d7-e09e-49bf-b45e-477076c2ec01
relationship--7194f06c-abd5-4ff8-ad95-2449adaa4c13,course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9
